name,operator,output,source,method,wikidata_id,latitude,longitude
"Bruce Nuclear Generating Station","Bruce Power","6,232 MW","nuclear","fission",Q795104,44.325306,-81.599389
"Centrale Robert-Bourassa","Hydro-Québec","5,616 MW","hydro","water-storage",Q1456859,53.795306,-77.440611
"Churchill Falls Generating Station","Newfoundland and Labrador Hydro","5,428 MW","hydro","water-storage",Q1458507,53.528611,-63.965833
"Darlington Nuclear Generating Station","Ontario Power Generation","3,512 MW","nuclear","fission",Q1739391,43.872778,-78.719722
"Gordon M. Shrum Generating Station","BC Hydro","2,880 MW","hydro","water-storage",Q1758688,56.016667,-122.201111
"Mica","BC Hydro","2,805 MW","hydro","water-storage",,50,-100
"Centrale La Grande-4",,"2,779 MW","hydro",,Q1339475,53.886111,-73.4625
"Revelstoke Generating Station","BC Hydro","2,480 MW","hydro",,Q1433635,51.049444,-118.193889
"La Grande-3","Hydro-Québec","2,418 MW","hydro","run-of-the-river",Q1339454,53.729694,-75.968306
"Centrale La Grande-2A","Hydro-Québec","2,106 MW","hydro","water-storage",Q1337853,53.779389,-77.548306
"Lennox Generating Station",,"2,100 MW","gas","combustion",Q6522858,44.146111,-76.8525
"Pickering Nuclear Generating Station","Ontario Power Generation","2,086 MW","nuclear","fission",Q1739455,43.811667,-79.065833
"Centrale de Beauharnois","Hydro-Québec","1,903 MW","hydro","run-of-the-river",Q925113,45.313889,-73.908889
"Genesee Generating Station","Capital Power","1,857 MW","gas","combustion",Q5532732,53.343056,-114.303056
"Centrale Manic-5","Hydro-Québec","1,596 MW","hydro",,Q1425918,50.646667,-68.724444
"Sir Adam Beck II Generating Station",,"1,499 MW","hydro","water-storage",Q7525907,43.1475,-79.044694
"Centrale La Grande-1","Hydro-Québec","1,436 MW","hydro",,Q1338919,53.734444,-78.573889
"Limestone Generating Station","Manitoba Hydro","1,340 MW","hydro","run-of-the-river",Q6830590,56.506889,-94.106889
"Kettle Generating Station","Manitoba Hydro","1,220 MW","hydro","run-of-the-river",Q6395516,56.384194,-94.635
"Centrale René-Lévesque","Hydro-Québec","1,183 MW","hydro","water-storage",Q1302322,49.739694,-68.592194
"Centrale Bersimis 1","Hydro-Québec","1,178 MW","hydro",,Q1410164,49.295806,-69.550806
"Centrale Jean-Lesage","Hydro-Québec","1,145 MW","hydro","water-storage",Q1328614,49.321667,-68.346667
"Centrale Shipshaw","Rio Tinto Alcan","1,145 MW","hydro",,Q3482327,48.45,-71.22
"Site C Powerhouse","BC Hydro","1,100 MW","hydro","run-of-the-river",,50,-100
"Centrale Manic-5-PA","Hydro-Québec","1,064 MW","hydro",,Q1425918,50.646667,-68.724444
"R.H. Saunders Generating Station","Ontario Power Generation","1,045 MW","hydro","run-of-the-river",,50,-100
"Greenfield Energy Centre","Calpine","1,038 MW","gas","combustion",Q5603958,42.769194,-82.452806
"Centrale Outardes-3","Hydro-Québec","1,026 MW","hydro","run-of-the-river",Q1329257,50,-100
"Long Spruce Generating Station",,"1,010 MW","hydro","run-of-the-river",Q373526,56.400306,-94.369389
"Coleson Cove Generating Station","NB Power","978 MW","oil","combustion",Q5144673,45.153611,-66.203056
"Kemano Generating Station","Rio Tinto","890 MW","hydro","water-storage",Q21188284,53.556944,-127.940833
"Kemano Generating Station",,"890 MW","hydro",,Q21188284,53.556944,-127.940833
"Centrale de la Sainte-Marguerite-3","Hydro-Québec","884 MW","hydro","water-storage",Q5257060,50,-100
"Centrale Laforge-1","Hydro-Québec","878 MW","hydro",,Q1338720,54.166694,-72.616694
"Centrale Bersimis-2","Hydro-Québec","869 MW","hydro","run-of-the-river",Q1338316,49.175306,-69.229194
"Shepard Energy Centre","Enmax / Capital Power","860 MW","gas","combustion",Q28233486,50.970556,-113.885
"Keephills Generating Station",,"858 MW","gas","combustion",Q6383236,53.448333,-114.450556
"Seven Mile Dam Generating Station","FortisBC","848 MW","hydro",,Q7457335,49.03,-117.503889
"Goreway Power Station","Ontario Power Authority","839 MW","gas","combustion",Q5586190,43.746111,-79.68
"Centrale de Chute-des-Passes","Rio Tinto Alcan","833 MW","hydro","water-storage",Q61376957,49.840561,-71.162781
"Centrale Bernard-Landry","Hydro-Québec","829 MW","hydro","run-of-the-river",Q65212746,52.181667,-76.050278
"Muskrat Falls","Newfoundland and Labrador Hydro","824 MW","hydro",,Q65211718,53.245556,-60.772778
"Boundary Dam Power Station","SaskPower","813 MW","coal","combustion",Q4949936,49.096389,-103.03
"Sheerness Generating Station","ATCO Electric - TransAlta Utilities","800 MW","gas","combustion",Q7492507,51.442222,-111.792222
"Centrale aux Outardes-4",,"785 MW","hydro",,Q1328582,49.705611,-68.905806
"Centrale de Carillon","Hydro-Québec","753 MW","hydro","run-of-the-river",Q2944472,45.568611,-74.383611
"Peace Canyon Generating Station","BC Hydro","736 MW","hydro",,Q7157342,55.981889,-121.994
"Keeyask Generating Station",,"695 MW","hydro",,Q65212702,56.349722,-95.201944
"Point Lepreau Nuclear Generating Station","NB Power","660 MW","nuclear","fission",Q1391137,45.069444,-66.455556
"Mactaquac Generating Station","NB Power","653 MW","hydro","run-of-the-river",Q65211669,50,-100
"Halton Hills Generating Station","Atura Power","642 MW","gas","combustion",,50,-100
"Centrale La Romaine-2","Hydro-Québec","640 MW","hydro","water-storage",Q65212845,50.624167,-63.194167
"Queen Elizabeth Power Station",,"634 MW","gas","combustion",Q7270374,52.095278,-106.706111
"Lingan Generating Station",,"620 MW","coal","combustion",Q6553764,46.235542,-60.039269
"Bay d'Espoir Hydroelectric Power Station",,"604 MW","hydro",,Q4874173,47.990244,-55.800142
"Kootenay Canal Generating Station","BC Hydro","583 MW","hydro",,Q6430821,49.452778,-117.518056
"Poplar River Power Station","SaskPower","582 MW","coal","combustion",Q7229425,49.0575,-105.483056
"Brighton Beach LP Power Station","Atco Power & Ontario Power Generation","580 MW","gas","combustion",Q4967600,42.279722,-83.095
"Centrale de cogénération de Bécancour","TC Énergie","550 MW","gas","combustion",Q11960391,46.3675,-72.403611
"Portlands Energy Centre","Ontario Power Generation/TransCanada Energy Limited","550 MW","gas","combustion",Q7232096,43.649389,-79.330806
"Portlands Energy Centre","Atura Power","550 MW","gas","combustion",Q7232096,43.649389,-79.330806
"Battle River Generating Station","ATCO Power","540 MW","gas","combustion",Q4870103,52.468889,-112.133889
"Centrale de la Toulnustouc","Hydro-Québec","526 MW","hydro",,Q203226,49.97,-68.16
"Centrale aux Outardes-2",,"523 MW","hydro","run-of-the-river",Q1329822,49.144444,-68.389722
"Sundance Power Station",,"514 MW","gas","combustion",Q7639182,53.5075,-114.556944
"Centrale Eastmain-1","Hydro-Québec","507 MW","hydro","run-of-the-river",Q65212745,50,-100
"NB Power Belledune Generating Station","NB Power","490 MW","coal","combustion",Q11960505,47.860281,-65.861389
"Waneta Dam","FortisBC","490 MW","hydro","run-of-the-river",Q7967344,49.004167,-117.611944
"Bridge River 1 & 2 Generating Stations","BC Hydro","478 MW","hydro",,Q4966280,50.731694,-122.2425
"Joffre Cogeneration CCGT Power Plant","Heartland Generation Ltd., Capital Power","474 MW","gas","combustion",Q6214627,52.306667,-113.553889
"Grand Rapids Generating Station","Manitoba Hydro","472 MW","hydro","run-of-the-river",,50,-100
"Centrale Brisay","Hydro-Québec","469 MW","hydro",,Q1338361,54.441694,-70.530611
"Buffalo Plains Wind Farm","Copenhagen Infrastructure Partners","466 MW","wind",,,50,-100
"Travers Solar","Travers 2 Solar LP","465 MW","solar","photovoltaic",,50,-100
"Holyrood Thermal Generating Station","Nalcor","450 MW","oil",,Q5887144,47.452817,-53.095481
"Centrale d'isle Maligne","Rio Tinto Alcan","448 MW","hydro","water-storage",Q2944567,48.58,-71.64
"Sarnia Regional Cogeneration Plant","TransAlta","444 MW","gas",,Q7424349,42.934722,-82.438056
"Sir Adam Beck I Generating Station",,"437 MW","hydro","water-storage",Q7525907,43.1475,-79.044694
"Des Joachims Power Station",,"429 MW","hydro",,Q11965343,46.181111,-77.695831
"Firebag Oil Sands power station",,"425 MW","gas","combustion",,50,-100
"Tufts Cove Generating Station","Nova Scotia Power","415 MW","gas;oil","combustion",,50,-100
"Centrale La Romaine-3","Hydro-Québec","414 MW","hydro","water-storage",Q65212846,50,-100
"Bécancour gas turbine","Hydro-Québec","411 MW","gas","combustion",,50,-100
"Millbank power plant","Energie NB Power","397 MW","diesel",,,50,-100
"Parc éolien Rivière-du-Moulin","EDF Renouvelables","395 MW","wind",,,50,-100
"Complexe hydroélectrique de Shawinigan","Hydro-Québec","394 MW","hydro","run-of-the-river",Q42805033,46.537222,-72.765861
"Centrale de la Péribonka",,"385 MW","hydro",,Q2944505,50,-100
"Brazeau Powerhouse","TransAlta","355 MW","hydro",,,50,-100
"Chinook Power Station","SaskPower","353 MW","gas","combustion",,50,-100
"Parc éolien de la Seigneurie de Beaupré","Boralex","350 MW","wind",,,50,-100
"Abitibi Canyon Generating Station",,"349 MW","hydro",,Q4667986,49.877806,-81.570806
"Centrale McCormick","Hydro-Québec","335 MW","hydro",,Q731237,49.193056,-68.326944
"Brandon Generating Station",,"333 MW","gas","combustion",Q4956866,49.845306,-99.889194
"Calgary Energy Centre","Enmax","320 MW","gas","combustion",Q28233484,51.1803,-113.9368
"Centrale Laforge-2","SEBJ; Hydro-Québec","319 MW","hydro",,Q1329837,54.588889,-71.280611
"Trenton Generating Station","Nova Scotia Power","310 MW","coal","combustion",,50,-100
"Jenner Wind Power Project Phase 1-3","Jenner Wind Limited Partnership (JWLP)","303 MW","wind",,,50,-100
"Centrale de la Trenche","Hydro-Québec","302 MW","hydro","water-storage",Q769693,47.75,-72.88
"H.R. Milner Plant","Maxim Power Corp","300 MW","gas","combustion",,50,-100
"Parc éolien du Lac-Alfred","Enbridge, EDF EN, MRC de La Matapédia et MRC de La Mitis","300 MW","wind",,,50,-100
"Blackspring Ridge Wind Farm","EDF Renewables Canada","299 MW","wind",,,50,-100
"Sharp Hills Wind Farm","edp Renewables","297 MW","wind",,,50,-100
"Centrale de La Tuque",,"294 MW","hydro","water-storage",Q2944478,47.44,-72.8
"Bayside Generating Station","NB Power","290 MW","oil",,,50,-100
"E.B. Campbell Hydroelectric Station","SaskPower","288 MW","hydro",,Q5321573,53.688611,-103.347
"Forty Mile Bow Island Wind Farm","Acciona Energia","280 MW","wind","wind_turbine",,50,-100
"Shand Power Station",,"279 MW","coal","combustion",Q7487893,49.088333,-102.863889
"Lower Notch Generating Station","Ontario Power Generation","274 MW","hydro","run-of-the-river",,50,-100
"Centrale Beaumont","Hydro-Québec","270 MW","hydro","run-of-the-river",Q2944447,50,-100
"Centrale La Romaine-1","Hydro-Québec","270 MW","hydro",,Q65212844,50,-100
"Smoky Falls Generating Station","Ontario Power Generation and Moose Cree First Nation","268 MW","hydro","run-of-the-river",Q19263975,50.067222,-82.167222
"Brilliant Generating Station","FortisBC","265 MW","hydro","water-storage",,50,-100
"Cory Cogeneration Station",,"260 MW","gas","combustion",Q5173563,52.093611,-106.868056
"North Battleford Energy Centre",,"260 MW","gas","combustion",,50,-100
"Kearl","Imperial Oil","255 MW","gas","combustion",,50,-100
"Medicine Hat Plant","City of Medicine Hat","255 MW","gas","combustion",,50,-100
"Nipawin Hydroelectric Station","SaskPower","255 MW","hydro","run-of-the-river",Q7039428,53.319722,-104.041944
"Island Cogeneration Plant","Capital Power Corporation","254 MW","gas","combustion",Q16979619,50.075556,-125.286667
"Kelsey Generating Station","Manitoba Hydro","250 MW","hydro","run-of-the-river",Q1323872,56.040556,-96.538889
"Oneida Energy Storage","Oneida LP","250 MW","battery","battery-storage",,50,-100
"Cypress (1&2) Wind Project","EDF Renewables","247 MW","wind",,Q122944892,49.858889,-110.359611
"Centrale La Romaine-4","Hydro-Québec","245 MW","hydro",,,50,-100
"Centrale de Chute-Savane","Rio Tinto Alcan","245 MW","hydro","run-of-the-river",Q61376973,48.753056,-71.84
"Clover Bar Energy Centre","Capital Power","243 MW","gas","combustion",,50,-100
"Otto Holden Generating Station","Ontario Power Generation","243 MW","hydro",,Q19384947,46.378056,-78.726944
"Centrale Chute-du-Diable","Rio Tinto Alcan","240 MW","hydro",,Q61376971,50,-100
"Wells GS","Brookfield Renewable","239 MW","hydro",,,50,-100
"Little Long Generating Station","Ontario Power Generation and Moose Cree First Nation","233 MW","hydro","run-of-the-river",,50,-100
"Meridian Cogeneration Power Plant","SaskPower","228 MW","gas","combustion",Q6819358,53.259444,-109.951111
"Parc éolien Nicolas-Riou","EDF EN, Régie intermunicipale de l’énergie du Bas-Saint-Laurent et Régie intermunicipale de l’énergie de la Gaspésie-Îles-de-la-Madeleine","224 MW","wind",,,50,-100
"Centrale de Chute-à-Caron","Rio Tinto Alcan","222 MW","hydro",,Q61376989,48.451111,-71.253889
"Wreck Cove Hydro","Nova Scotia Power","216 MW","hydro","water-storage",,50,-100
"Centrale Paugan","Hydro-Québec","213 MW","hydro",,,50,-100
"Parc éolien de Gros-Morne","Cartier Énergie Éolienne","212 MW","wind","wind_turbine",Q3588993,50,-100
"Windrise Wind Project","TransAlta Renewables","206 MW","wind",,,50,-100
"Atikokan Generating Station",,"205 MW","biomass",,Q4815789,48.838111,-91.570806
"Centrale de Shawinigan-2","Hydro-Québec","204 MW","hydro","run-of-the-river",Q2944489,46.54,-72.77
"Centrale du Rapide-Blanc","Hydro-Québec","204 MW","hydro","water-storage",Q430663,47.796611,-72.973419
"Kipling Generating Station","Ontario Power Generation and Moose Cree First Nation","204 MW","hydro","run-of-the-river",,50,-100
"Forty Mile Wind Power Project","Suncor","202 MW","wind",,,50,-100
"Whitla Wind 1","Capital Power Energy","202 MW","wind",,,50,-100
"Parc éolien Apuiat","Boralex","200 MW","wind",,,50,-100
"Wuskwatim Hydroelectric Plant",,"200 MW","hydro",,Q12010818,50,-100
"Forrest Kerr Hydroelectric Project","AltaGas","195 MW","hydro","run-of-the-river",,50,-100
"Centrale de Shawinigan-3","Hydro-Québec","194 MW","hydro","run-of-the-river",Q2944497,46.53,-72.77
"Chats Falls Power Station","Hydro One Networks Inc.","188 MW","hydro","run-of-the-river",Q2944502,45.476389,-76.248611
"Coteau Creek Hydroelectric Station","SaskPower","186 MW","hydro",,Q5175321,51.275,-106.873056
"Arrow Lakes Generating Station","Columbia Power Corporation","185 MW","hydro","water-storage",Q2885187,49.339444,-117.771944
"Centrale Manic-1","Hydro-Québec","184 MW","hydro",,Q120596,49.191389,-68.329389
"Point Aconi Generating Station","Nova Scotia Power","183 MW","coal","combustion",,50,-100
"Otter Rapids Generating Station","Ontario Power Generation","182 MW","hydro","run-of-the-river",Q7109418,50.183611,-81.636111
"Stewartville Generating Station","Ontario Power Generation","182 MW","hydro","run-of-the-river",Q65211734,50,-100
"Barrett Chute power plant","Ontario Power Generation","176 MW","hydro",,Q65211656,50,-100
"Centrale des Rapides-des-Îles",,"176 MW","hydro",,,50,-100
"Sir Adam Beck Pump Generating Station",,"174 MW","hydro","water-pumped-storage",,50,-100
"Jordan River Generating Station",,"170 MW","hydro","water-storage",Q6276934,48.496389,-123.993056
"Long Lake Cogeneration Power Station",,"170 MW","oil","combustion",,50,-100
"Centrale Adam-Cunningham","Produits forestiers Resolu","170 MW","hydro","water-storage",,50,-100
"Kent Hills Wind Farm","TransAlta","167 MW","wind",,Q6391767,45.805611,-64.895806
"MacKay River TC Power Plant",,"165 MW","gas","combustion",,50,-100
"Seven Sisters Generating Station","Manitoba Hydro","165 MW","hydro",,Q30626851,50.115278,-96.013056
"Aubrey Falls",,"162 MW","hydro",,Q65211721,46.909444,-83.212778
"Cheakamus/Squamish River Powerhouse","BC Hydro","157 MW","hydro",,Q17762159,49.933889,-123.291111
"Chelsea generating station","Hydro-Québec","153 MW","hydro",,,50,-100
"Centrale de Chelsea","Hydro-Québec","152 MW","hydro","run-of-the-river",Q2944466,45.51,-75.78
"Grizzly Bear Wind Power Project","Enel","152 MW","wind",,,50,-100
"Lanfine Wind Farm","Pattern Energy","151 MW","wind",,,50,-100
"Whitla Wind 2","Capital Power Energy","151 MW","wind",,,50,-100
"Centennial Wind Power Facility","SaskPower","150 MW","wind",,,50,-100
"Centrale de la Sarcelle","SEBJ","150 MW","hydro","run-of-the-river",Q2944504,52.67,-76.63
"Halkirk Wind Power Facility","Capital Power","150 MW","wind",,,50,-100
"Parc éolien du Massif du Sud","Enbridge et EDF Énergies Nouvelles","150 MW","wind",,,50,-100
"Point Tupper Generating Station","Nova Scotia Power","150 MW","coal","combustion",Q7208178,45.5869,-61.3481
"East Toba River Hydroelectric Project","Innergex","147 MW","hydro",,Q61375449,50.675,-123.96
"Hand Hills Wind Project","BlueEarth Renewables","145 MW","wind",,,50,-100
"Pine Portage Generating Station",,"145 MW","hydro","run-of-the-river",Q65211675,50,-100
"Chenaux Station","Ontario Power Generation","144 MW","hydro",,Q11963506,45.583889,-76.673889
"DeCew II Generating Station","Ontario Power Generation","144 MW","hydro","run-of-the-river",,50,-100
"Dokie Ridge Wind Farm",,"144 MW","wind",,Q5288739,50,-100
"ENMAX Crossfield Energy Centre","Enmax","144 MW","gas","combustion",,50,-100
"Quality Wind Project","Capital Power","142 MW","wind",,,50,-100
"Harmon","Ontario Power Generation and Moose Cree First Nation","141 MW","hydro","run-of-the-river",,50,-100
"Parc éolien Le Plateau","Invenergy Wind Canada LLC","139 MW","wind","wind_turbine",,50,-100
"St. Joseph Wind Farm",,"138 MW","wind","wind_turbine",,50,-100
"Parc éolien Des Moulins","Invenergy Wind Canada","136 MW","wind",,,50,-100
"Yellowhead Power Plant","SaskPower","135 MW","gas","combustion",,50,-100
"Parc éolien de Saint-Ulric, Saint-Léandre (Jardin d'Eole)","Northland Power","133 MW","wind",,,50,-100
"Centrale La Gabelle","Hydro-Québec","131 MW","hydro","run-of-the-river",Q2944479,46.45,-72.74
"Centrale de la Première-Chute","Hydro-Québec","130 MW","hydro",,Q2944501,47.6,-79.45
"Garden Plain Wind Project","Pattern Energy","130 MW","wind",,,50,-100
"Rattlesnake Ridge Wind Farm","Berkshire Hathaway Energy","130 MW","wind",,,50,-100
"Deer Lake Hydro Plant","Kruger Energy","129 MW","hydro","water-storage",Q65211702,49.173611,-57.431111
"Great Falls Generating Station","Manitoba Hydro","129 MW","hydro","run-of-the-river",Q5599160,50.462806,-96.006889
"Jenpeg Generating Station","Manitoba Hydro","129 MW","hydro","run-of-the-river",Q19376202,50,-100
"Cat Arm Generating Station","Newfoundland and Labrador Hydro","127 MW","hydro","water-storage",,50,-100
"Selkirk Generating Station","Manitoba Hydro","125 MW","gas","combustion",,50,-100
"Wheatland Wind Project","Wheatland Wind Project Ltd.","122 MW","wind",,,50,-100
"Centrale des Cèdres","Hydro-Québec","122 MW","hydro","run-of-the-river",Q2944510,45.31,-74.03
"Summerview 1 & 2 Wind Farm","TransAlta Renewables","122 MW","wind",,,50,-100
"Balzac Power Station","Nexen","120 MW","gas","combustion",,50,-100
"Bighorn Hydro Plant","TransAlta","120 MW","hydro","water-storage",,50,-100
"Burnside Combustion Turbine Power Plant","Nova Scotia Power","120 MW","oil","combustion",,50,-100
"Cavalier Energy Centre","Enmax","120 MW","gas","combustion",,50,-100
"Cold Lake Project Mahkeses Power Station",,"120 MW","oil","combustion",,50,-100
"McMahon Cogeneration Plant","NorthRiver Midstream;Heartland Generation","120 MW","gas","combustion",Q14874686,56.148111,-120.668
"Dow Chemical Fort Saskatchewan Alberta Power Plant",,"118 MW","gas","combustion",,50,-100
"Sterling Wind Project",,"113 MW","wind",,,50,-100
"Beechwood Generating Station","NB Power","112 MW","hydro",,,50,-100
"[unnamed]","TransAlta","112 MW","hydro","water-storage",,50,-100
"Island Falls Hydroelectric Station",,"111 MW","hydro","water-storage",Q14874962,55.528889,-102.357
"Kingston Generating Station","Northland Power","110 MW","gas","combustion",,50,-100
"Parc éolien Baie-des-Sables","Innergex","110 MW","wind",,Q3588993,50,-100
"Centrale des Rapides-des-Quinze","Hydro Quebec","109 MW","hydro","run-of-the-river",,50,-100
"Parc éolien de Carleton","Innergex","109 MW","wind",,,50,-100
"Castle Rock Ridge 1 & 2 Wind Farm","Castle Rock Ridge Limited","106 MW","wind",,,50,-100
"Ruskin Dam","BC Hydro","106 MW","hydro","water-storage",Q7380953,49.195806,-122.408
"Algoma Salut Ste. Marie",,"105 MW","gas",,,50,-100
"Centrale Masson",,"105 MW","hydro",,,50,-100
"Centrale de Grand-Mère",,"105 MW","hydro","water-storage",Q2944474,46.62,-72.68
"Grande Prairie Generating Station","Constellation Energy Corporation","105 MW","gas","combustion",,50,-100
"Riverview Wind Farm","Enel Green Power Canada","105 MW","wind",,,50,-100
"Port Dover and Nanticoke Wind Farm","Capital Power","104 MW","wind",,,50,-100
"Poste des Cèdres","Hydro-Québec","103 MW","hydro","run-of-the-river",,50,-100
"Bear Mountain Wind Farm","Bear Mountain Wind LP","102 MW","wind","wind_turbine",Q4876515,50,-100
"South Canoe Wind Energy","Nova Scotia Power, Oxford Frozen Foods and Minas Basin Pulp and Power","102 MW","wind","wind_turbine",,50,-100
"Parc éolien Montérégie","Kruger Énergie Montérégie S.E.C. (KÉMONT)","101 MW","wind",,,50,-100
"Parc éolien Vents du Kempt","Eolectric","101 MW","wind",,,50,-100
"Parc éolien Mont Sainte-Marguerite","Éolectric","101 MW","wind",,Q131927009,46.323694,-71.149194
"Parc éolien Mont-Louis","Northland Power","100 MW","wind","wind_turbine",,50,-100
"Parc éolien de l'Anse-a-Valleau","Cartier Énergie Éolienne","100 MW","wind",,Q3588993,50,-100
"Corner Brook Pulp And Paper","Kruger","100 MW","biomass",,,50,-100
"Grand Renewable Solar","Samsung Renewable Energy;Six Nations of the Grand River","100 MW","solar","photovoltaic",,50,-100
"Hilda Wind Farm","RES Canada","100 MW","wind",,,50,-100
"Kingston Solar","Samsung Renewable Energy;Six Nations of the Grand River","100 MW","solar","photovoltaic",,50,-100
"Parc éolien de l'Érable","Enerfin Energy Co.","100 MW","wind",,,50,-100
"Cape Scott Wind Farm",,"99 MW","wind","wind_turbine",,50,-100
"Caribou Wind Park Wind Farm",,"99 MW","wind","wind_turbine",,50,-100
"Erie Shores Wind Farm","Erie Shores Wind","99 MW","wind","wind_turbine",,50,-100
"Saint Leon Wind Farm","Algonquin Power","99 MW","wind",,,50,-100
"Sainte Rose Generating Station","NB Power","99 MW","diesel",,,50,-100
"West Cape Wind Farm","Engie","99 MW","wind","wind_turbine",,50,-100
"Centrale des Rapides-Farmer","Hydro-Québec","98 MW","hydro",,Q2944516,45.5,-75.76
"Drumheller Solar Farm","Drumheller Solar Corporation","96 MW","solar","photovoltaic",,50,-100
"Carseland Captive Power Station","Nutrien","95 MW","gas","combustion",,50,-100
"Cameron Falls Generating Station",,"92 MW","hydro","run-of-the-river",Q65211708,50,-100
"East Windsor Cogeneration Centre","Capital Power","92 MW","gas","combustion",,50,-100
"Caribou Falls Generation Station","Ontario Power Generation","91 MW","hydro","run-of-the-river",,50,-100
"Digby Neck Wind Farm","Sprott Power Corporation","90 MW","wind","wind_turbine",,50,-100
"Ermine Power Station","SaskPower","90 MW","gas","combustion",,50,-100
"Stave Falls Dam","BC Hydro","90 MW","hydro","water-storage",Q7604795,49.229694,-122.356
"Valleyview 1 / 2","ATCO Power","90 MW","gas","combustion",,50,-100
"Spy Hill Power Plant","Northland Power Inc.","89 MW","gas","combustion",,50,-100
"Montrose Creek Hydroelectric Project",,"88 MW","hydro",,,50,-100
"Pine Falls Generating Station","Manitoba Hydro","88 MW","hydro","run-of-the-river",Q65211723,50,-100
"Wintering Hills Wind Farm","TransAlta Renewables","88 MW","wind",,,50,-100
"[unnamed]",,"88 MW","gas","combustion",,50,-100
"Twin Rivers Paper","Twin Rivers Paper","87 MW","biomass","combustion",,50,-100
"Chaudière Falls","Portage Power","84 MW","hydro","run-of-the-river",Q2944473,45.421667,-75.719722
"Upper Salmon Hydroelectric Development","Bay D'Espoir Hydroelectric Development","84 MW","hydro","water-storage",,50,-100
"Arnprior Generating Station","Ontario Power Generation","82 MW","hydro","run-of-the-river",Q65211689,45.42,-76.352778
"Ghost Pine Wind Farm","NextEra","82 MW","wind",,,50,-100
"Upper Lillooet River",,"81 MW","hydro",,Q61375480,50.651944,-123.441111
"Enmax Taber Wind Farm","ENMAX","81 MW","wind",,,50,-100
"Air Liquide Scotford Complex Power Plant",,"80 MW","gas","combustion",,50,-100
"Sarnia Solar Energy Project","First Solar","80 MW","solar","photovoltaic",,50,-100
"Raleigh Wind Farm",,"78 MW","wind","wind_turbine",,50,-100
"Centrale des Rapide-des-Cœurs","Hydro-Québec","76 MW","hydro","run-of-the-river",Q2944511,47.786389,-73.375
"Parc éolien de Témiscouata (Saint-Honoré, Saint-Elzéar)","Boralex","75 MW","wind",,,50,-100
"Claresholm Solar 2","Capstone Infrastructure","75 MW","solar","photovoltaic",,50,-100
"Clydesdale Solar","Capital Power","75 MW","solar","photovoltaic",,50,-100
"Hinds Lake Generating Station",,"75 MW","hydro","run-of-the-river",Q5766221,49.082819,-57.201197
"McBride Lake Wind Farm",,"75 MW","wind",,,50,-100
"Pointe du Bois Generating Station","Manitoba Hydro","75 MW","hydro","run-of-the-river",Q65211725,50,-100
"Parc éolien Roncevaux",,"75 MW","wind","wind_turbine",,50,-100
